hierarchy,active,mesh_asset,triangles,colliders,cast_shadows,material_assets,instancing,lod_group,instance_id,bounds_center_x,bounds_center_y,bounds_center_z
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 113/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908958,3.50003815,1.61235738,16.4998016
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 113/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908950,3.50020647,1.602371,16.5000553
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 113/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908942,3.50951385,1.59298837,16.5095749
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 114/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908928,4.500014,1.61235738,16.4998
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 114/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908920,4.50021172,1.602371,16.5000286
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 114/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908912,4.51061,1.59298837,16.5083447
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 117/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908898,7.500025,1.61235738,16.5002
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 117/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908890,7.499787,1.602371,16.5000114
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 117/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908882,7.487993,1.59298837,16.4938335
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 119/LOD0,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD0.asset,12000,0,On,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908868,8.49989,1.61235738,17.50017
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 119/LOD1,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD1.asset,3499,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908860,8.499829,1.602371,17.4998722
Coast preview — generated  Play starts campaign/Coast environment/Coast Forest — 24 near trees and distant clusters/Tree 119/LOD2,True,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_LOD2.asset,1200,0,Off,Assets/DawnGuard/BlackwoodLTD/Art/Forest/CoastPine_Shared_0.mat,true,True,568105589210908852,8.494766,1.59298837,17.4875584
